date,ndfpp,wti,brent
7/1/1977,8.41,,
8/1/1977,8.79,,
9/1/1977,9.34,,
10/1/1977,8.83,,
11/1/1977,9.64,,
12/1/1977,9.26,,
1/1/1978,9.16,,
2/1/1978,9.09,,
3/1/1978,9.38,,
4/1/1978,9.59,,
5/1/1978,9.44,,
6/1/1978,9.54,,
7/1/1978,9.67,,
8/1/1978,10,,
9/1/1978,9.98,,
10/1/1978,10.2,,
11/1/1978,10.25,,
12/1/1978,10.32,,
1/1/1979,10.56,,
2/1/1979,10.7,,
3/1/1979,10.78,,
4/1/1979,10.93,,
5/1/1979,11.3,,
6/1/1979,12.41,,
7/1/1979,13.18,,
8/1/1979,14.51,,
9/1/1979,15.33,,
10/1/1979,15.95,,
11/1/1979,16.76,,
12/1/1979,18.01,,
1/1/1980,20.78,,
2/1/1980,21.94,,
3/1/1980,23.94,,
4/1/1980,23.66,,
5/1/1980,26.48,,
6/1/1980,28.37,,
7/1/1980,26.97,,
8/1/1980,30.35,,
9/1/1980,27.1,,
10/1/1980,28.11,,
11/1/1980,28.6,,
12/1/1980,30.92,,
1/1/1981,33.39,,
2/1/1981,37.79,,
3/1/1981,41.77,,
4/1/1981,37.36,,
5/1/1981,36.35,,
6/1/1981,35.17,,
7/1/1981,32.62,,
8/1/1981,34.25,,
9/1/1981,34.58,,
10/1/1981,34.62,,
11/1/1981,35.12,,
12/1/1981,34.5,,
1/1/1982,34.59,,
2/1/1982,33.62,,
3/1/1982,32.01,,
4/1/1982,31.02,,
5/1/1982,31.61,,
6/1/1982,31.13,,
7/1/1982,30.77,,
8/1/1982,31.17,,
9/1/1982,31.38,,
10/1/1982,32.29,,
11/1/1982,32.38,,
12/1/1982,31.42,,
1/1/1983,31.56,,
2/1/1983,29.53,,
3/1/1983,29.36,,
4/1/1983,28.87,,
5/1/1983,28.59,,
6/1/1983,28.81,,
7/1/1983,28.93,,
8/1/1983,29.04,,
9/1/1983,29.03,,
10/1/1983,29.08,,
11/1/1983,29.56,,
12/1/1983,28.82,,
1/1/1984,28.94,,
2/1/1984,28.97,,
3/1/1984,28.75,,
4/1/1984,28.73,,
5/1/1984,28.72,,
6/1/1984,28.78,,
7/1/1984,28.7,,
8/1/1984,28.58,,
9/1/1984,28.35,,
10/1/1984,28.52,,
11/1/1984,26.98,,
12/1/1984,26.56,,
1/1/1985,25.34,,
2/1/1985,24.54,,
3/1/1985,25.11,,
4/1/1985,25.24,,
5/1/1985,25.62,,
